10/10/2014 | 14:15:08 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:15:08 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5420
10/10/2014 | 14:15:09 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:15:09 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5420
10/10/2014 | 14:15:09 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:15:09 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5440
10/10/2014 | 14:15:10 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:15:10 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5440
10/10/2014 | 14:15:10 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:15:10 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5435
10/10/2014 | 14:15:11 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:15:11 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5435
10/10/2014 | 14:15:11 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:15:11 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:13 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:15:13 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
10/10/2014 | 14:15:13 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:15:14 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
10/10/2014 | 14:15:14 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
